plateRPA;cdUsuarioSeg;cdVehiculo;username;password
MIT123;36468;73966;1053790738;pruebas1234
NAJ352;36468;73887;1053790738;pruebas1234
QWE000;36468;73886;1053790738;pruebas1234
RAQ035;40291;73976;1053790738;pruebas1234
ROB714;40289;73977;10244168;pruebas1234
RTQ843;36468;73927;1053790738;pruebas123456
SOP002;40272;73937;1053836242;flypass18
SOP008;40272;73944;1053836242;flypass18
DUL009;40290;73975;92015800;pruebas1234567
COA721;36468;73932;1053790738;pruebas1234
JJV112;36468;73928;1053790738;pruebas1234
LED195;36468;73931;1053790738;pruebas1234
LAM000;36498;73924;1152440509;pruebas1234
LAM001;36498;73935;9000000000;flypass18
